avg_monthly_income,income_stability,expense_to_income_ratio,emi_to_income_ratio,cashflow_consistency,months_history,has_credit_history,credit_score,business_age_years,default
15618.101782710437,0.7170079396124044,0.35039129207902125,0.0012046297726862084,0.8119986394646128,18,0,0.0,2.166087465099383,0
97444.27686266667,0.7938820089056144,0.34034738769744816,0.3230288697596097,0.7911759277518784,3,0,0.0,0.5,1
15830.15934534223,0.7280578258336508,0.3659696172985247,0.21737301491892266,0.374060634331526,12,1,682.5344828131279,6.546755737204544,0
39031.92993923741,0.8071930935978033,0.3604497739809429,0.3378465250503453,0.5377684715057807,6,1,623.6053451493904,4.942044873910699,0
61396.758127097084,0.5285358012056536,0.4913133612593989,0.04713740430183411,0.9381056620853678,3,1,601.6074139373169,0.5,1
37236.31900693908,0.7054654767030442,0.3,0.6,0.9080189193641429,6,1,532.0412077803225,8.281031453412922,1
15115.995265753878,0.8173999594128106,0.35349356270205695,0.025198026601954807,0.6184384052846065,24,1,305.51823096997776,0.5,1
30606.732736513994,0.5949443298099527,0.49699521775275723,0.10483110368828641,0.7637719303738122,12,0,0.0,3.8452854091974116,1
194045.85843529145,0.7184230482413938,0.4802039755971562,0.18298305390284808,0.9081616337628275,12,0,0.0,2.8635921465531533,0
67974.55756098776,0.7631417644876635,0.4541476519502442,0.10987612497948174,0.9805424368361666,3,0,0.0,5.188054108614407,0
21549.903296479162,0.5202327137201465,0.8298956576624219,0.30424957591056884,0.6475644178510022,6,0,0.0,0.8640179673797508,1
63996.69484729714,0.8175207918689709,0.6999499328697719,0.2075218096712026,0.46778075551168513,12,1,681.0561905205863,0.5,1
41467.34079047362,0.6208514737749704,0.5071595033135217,0.27803780623301305,0.6545053784653656,3,1,469.1128648640399,0.5,1
64101.728628565324,0.8834746783538628,0.3322386316273397,0.12573231853931713,0.625491944075074,24,1,306.50259088817904,7.073721890887361,1
48751.54917627013,0.7621921268986475,0.42347170274264784,0.10799992590091492,0.5786534351819798,18,1,360.67360567367416,0.5,0
27033.719516047495,0.9015288012965397,0.3,0.17805723771317225,0.657646229013277,12,1,524.9223477142225,1.0094074722616762,0
13353.937577791788,0.7052107283453871,0.46083309368337905,0.07093450953119372,0.5752735120933296,6,1,512.0113368156317,2.628731118019929,0
95546.35922469213,0.9480809003396202,0.5111239629338078,0.2820024850334903,0.8440702360167329,6,0,0.0,6.001278420009931,0
77771.58528013137,0.7133202419572728,0.3367519729312295,0.020830567949228093,0.829923671535465,12,1,825.992161595007,1.549941941964351,0
